PLZ,Ort,Kanton (DE),Kanton (FR),Kanton (IT),Abkürzung Kanton,Land (DE),Land (FR),Land (IT),
1071,St-Saphorin (Lavaux),Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1071,Chexbres,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1072,Forel (Lavaux),Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1073,Mollie-Margot,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1073,Savigny,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1076,Ferlens VD,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1077,Servion,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1078,Essertes,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1080,Les Cullayes,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1081,Montpreveyres,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1082,Corcelles-le-Jorat,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1083,Mézières VD,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1084,Carrouge VD,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1085,Vulliens,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1088,Ropraz,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1090,La Croix (Lutry),Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1091,Aran,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1091,Chenaux,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1091,Grandvaux,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1092,Belmont-sur-Lausanne,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1093,La Conversion,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1094,Paudex,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1095,Lutry,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1096,Villette (Lavaux),Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1096,Cully,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1097,Riex,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1098,Epesses,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1110,Morges,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1112,Echichens,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1113,St-Saphorin-sur-Morges,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1114,Colombier VD,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1115,Vullierens,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
1116,Cottens VD,Waadt,Vaud,Vaud,VD,Schweiz,Suisse,Svizzera,
