Achilles Bischoff-Strasse
Ackerstrasse
Adlerstrasse
Aeneas Silvius-Strasse
Aeschengraben
Aeschenplatz
Aeschenvorstadt
Aescherstrasse
Ahornstrasse
Airolostrasse
Akazienweg
Albert Schweitzer-Strasse
Alemannengasse
Allmendstrasse
Allschwilerplatz
Allschwilerstrasse
Altkircherstrasse
Altrheinweg
Am Bachgraben
Am Bahndamm
Am Krayenrain
Amerbachstrasse
Amselstrasse
An der hohlen Gasse
Andlauerstrasse
Andreas Heusler-Strasse
Andreasplatz
Angensteinerstrasse
Anwilerstrasse
Appenzellerstrasse
Arabienstrasse
Arbedostrasse
Archivgässlein
Arlesheimerstrasse
Arnold Böcklin-Strasse
Asconastrasse
Auberg
Auf dem Hummel
Auf dem Wolf
Auf der Alp
Auf der Lyss
Augsterweg
Augustinergasse
Austrasse
Bachlettenstrasse
Bachofenstrasse
Badenstrasse
Badenweilerstrasse
Baldeggerstrasse
Bändelgasse
Bannwartweg
Bärenfelserstrasse
Barfüssergasse
Barfüsserplatz
Bärschwilerstrasse
Bartenheimerstrasse
Baslerstrasse
Bättwilerstrasse
Bauhinweglein
Baumgartenweg
Bäumleingasse
Bäumlihofstrasse
Bechburgerstrasse
Beckenstrasse
Bedrettostrasse
Beim Buremichelskopf
Beim Goldenen Löwen
Beim Letziturm
Beim Wasserturm
Beinwilerstrasse
Belchenstrasse
Belforterstrasse
Bellingerweg
Bellinzonastrasse
Bergalingerstrasse
Bernerring
Bernoullistrasse
Bettingerweg
Beuggenstrasse
Biascastrasse
Binningerstrasse
Binzenstrasse
Birmannsgasse
Birsfelderstrasse
Birsig-Parkplatz
Birsigstrasse
Birskopfweglein
Birsstrasse
Bläsiring
Blauensteinerstrasse
Blauenstrasse
Bleichestrasse
Blochmonterstrasse
Blotzheimerstrasse
Blumengasse
Blumenrain
Bollweilerstrasse
Bonergasse
Bonfolstrasse
Bordeaux-Strasse
Brantgasse
Breisacherstrasse
Brennerstrasse
Bristenweg
Brombacherstrasse
Bruderholzallee
Bruderholzweg
Brüglingerstrasse
Brunngässlein
Brunnmattstrasse
Brüssel-Strasse
Buchenstrasse
Bundesplatz
Bundesstrasse
Bündnerstrasse
Bungestrasse
Bürenfluhstrasse
Burgfelderstrasse
Burgunderstrasse
Burgweg
Buschweilerweg
Byfangweg
Casinostrasse
Centralbahnstrasse
Chrischonastrasse
Christoph-Merian-Platz
Claragraben
Clarahofweg
Claramattweg
Claraplatz
Clarastrasse
Colmarerstrasse
Conrad-Ferdinand-Meyer-Strasse
Cratanderstrasse
Dachsfelderstrasse
Dammerkirchstrasse
Davidsbodenstrasse
Davidsbodenweglein
Davidsrain
De Wette-Strasse
Delsbergerallee
Dittingerstrasse
Dolderweg
Dorenbachviadukt
Dorfstrasse
Dornacherstrasse
Drahtzugstrasse
Dreihäuserweglein
Dreirosenstrasse
Drosselstrasse
Dufourstrasse
Duggingerhof
Edisonstrasse
Efringerstrasse
Eggfluhstrasse
Egliseestrasse
Eichenstrasse
Eichhornstrasse
Eidgenossenweg
Eimeldingerweg
Eisenbahnweg
Eisengasse
Elisabethenanlage
Elisabethenstrasse
Elsässerstrasse
Emanuel Büchel-Strasse
Emanuel-Büchel-Strasse
Emil Angst-Strasse
Engelgasse
Ensisheimerstrasse
Entenweidstrasse
Eptingerstrasse
Erasmusplatz
Erdbeergraben
Erikastrasse
Erlenmattstrasse
Erlenmattweg
Erlenparksteg
Erlenparkweg
Erlenstrasse
Erstfeldstrasse
Eugen-Wullschleger-Strasse
Eulerstrasse
Fabrikstrasse
Fächenweglein
Faidostrasse
Falkensteinerstrasse
Falknerstrasse
Färberstrasse
Farnsburgerstrasse
Fasanenstrasse
Fäschengasse
Fatiostrasse
Feierabendstrasse
Feldbergstrasse
Felsplattenstrasse
Finkenweg
Fischerweg
Flachsländerstrasse
Florastrasse
Flughafenstrasse
Föhrenstrasse
Forellenweg
Freiburgerstrasse
Freie Strasse
Friedensgasse
Friedhofgasse
Friedlingerstrasse
Friedrich Miescher-Strasse
Friedrichstrasse
Fringelistrasse
Frobenstrasse
Froburgstrasse
Fröschgasse
Furkastrasse
Fürstensteinerstrasse
Gartenstrasse
Gärtnerstrasse
Gasstrasse
Gellertpark
Gellertstrasse
Gempenstrasse
Gemsberg
General Guisan-Strasse
General-Guisan-Strasse
Gerbergasse
Giebenacherweg
Giessliweg
Gilgenbergerstrasse
Giornicostrasse
Glaserbergstrasse
Glockengasse
Göschenenstrasse
Gottesackerstrasse
Gottfried Keller-Strasse
Gotthardstrasse
Gotthelfplatz
Gotthelfstrasse
Greifengasse
Grellingerstrasse
Grenzacherstrasse
Grenzstrasse
Grienstrasse
Grimselstrasse
Grosspeterstrasse
Grünpfahlgasse
Gundeldingerrain
Gundeldingerstrasse
Gustav Wenk-Strasse
Güterstrasse
Habsburgerstrasse
Hafenstrasse
Hagenaustrasse
Hagenbachstrasse
Hagentalerstrasse
Haltingerstrasse
Hamburg-Strasse
Hammerstrasse
Hans Huber-Strasse
Hardrain
Hardstrasse
Hasenberg
Hasenmattstrasse
Häsingerstrasse
Hauensteinstrasse
Hebelplatz
Hebelstrasse
Hechtliacker
Hechtweg
Hegenheimerstrasse
Heinrichsgasse
Helfenbergstrasse
Helvetiaplatz
Henric Petri-Strasse
Herbergsgasse
Herbstgasse
Hermann Suter-Strasse
Hermann-Albrecht-Strasse
Herrengrabenweg
Herrmann Kinkelin-Strasse
Hersbergerweg
Heuberg
Heumattstrasse
Heuwaage
Heuwaageviadukt
Hexenweglein
Hiltalingerstrasse
Hirschgässlein
Hirzbodenpark
Hirzbodenweg
Hirzbrunnenallee
Hirzbrunnenschanze
Hirzbrunnenstrasse
Hochbergerplatz
Hochbergerstrasse
Hochstrasse
Hochwaldstrasse
Hofstetterstrasse
Hohe Winde-Strasse
Höhenweg
Holbeinplatz
Holbeinstrasse
Holderstrasse
Holeestrasse
Homburgerstrasse
Horburgstrasse
Hummelweglein
Hüningerstrasse
Hunnenstrasse
Hutgasse
Im Burgfelderhof
Im Davidsboden
Im Ettingerhof
Im Grenzacherhof
Im Heimatland
Im Heimgarten
Im Holeeletten
Im langen Loh
Im Langen Loh
Im Lohnhof
Im Margarethenletten
Im Rankhof
Im Rheinacker
Im Schmiedenhof
Im Sesselacker
Im Spitzacker
Im Surinam
Im Tiefen Boden
Im Wasenboden
Im Witterswilerhof
Im Zimmerhof
Immengasse
In den Klostermatten
In den Klosterreben
In den Schorenmatten
In den Ziegelhöfen
In der Breite
Ingelsteinweg
Innere Margarethenstrasse
Innerer Egliseeweg
Inselstrasse
Isteinerstrasse
Itelpfad
Jacob Burckhardt-Strasse
Jägerstrasse
Jakobsbergerholzweg
Jakobsbergerstrasse
Jakobsbergerweglein
Johann-Jakob-Balmer-Strasse
Johanniterbrücke
Johanniterstrasse
Julia-Gauss-Strasse
Jungstrasse
Jurastrasse
Käferholzstrasse
Kahlstrasse
Kaltbrunnenstrasse
Kandererstrasse
Kannenfeldplatz
Kannenfeldstrasse
Kanonengasse
Kapellenstrasse
Karl Jaspers-Allee
Karl-Barth-Platz
Karpfenweg
Kartausgasse
Kasernenstrasse
Kastanienweg
Kastelstrasse
Kaufhausgasse
Kaysersbergerstrasse
Kaysesrbergerstrasse
Kembserweg
Kienbergstrasse
Kirchgasse
Kirschblütenweg
Kirschgartenstrasse
Kleinhüningeranlage
Kleinhüningerstrasse
Kleinriehen-Promenade
Kleinriehenstrasse
Klingelbergstrasse
Klingental
Klingentalgraben
Klingentalstrasse
Klingnaustrasse
Klosterberg
Klosterfiechtenweg
Klostergasse
Kluserstrasse
Klybeckstrasse
Knöringerstrasse
Kohlenberg
Kohlenberggasse
Kohlenstrasse
Kontorstrasse
Kornhausgasse
Krachenrain
Kraftstrasse
Krakaustrasse
Küchengasse
Lachenstrasse
Landauerhofweg
Landauerstrasse
Landskronstrasse
Lange Gasse
Largitzenstrasse
Laufenburgerstrasse
Laufenstrasse
Laupenring
Lautengartenstrasse
Lehenmattstrasse
Leimenstrasse
Leimgrubenweg
Lenzgasse
Leonhardsgraben
Leonhardskirchplatz
Leonhardsstrasse
Lerchenstrasse
Leuengasse
Lichtstrasse
Liesbergerstrasse
Liestalerstrasse
Lindenberg
Lindenhofstrasse
Lindenweg
Lohnhofsgässlein
Lohweg
Lothringerplatz
Lothringerstrasse
Löwenbergstrasse
Luftgässlein
Luftmattstrasse
Lukas-Legrand-Strasse
Lützelstrasse
Luzernerring
Lyon-Strasse
Lysbüchelstrasse
Magdenstrasse
Magnolienpark
Maiengasse
Mailand-Strasse
Maispracherweg
Maja Sacher-Platz
Malzgasse
Margarethenbrücke
Margarethenstich
Mariasteinstrasse
Marignanostrasse
Markgräflerstrasse
Markircherstrasse
Marktgasse
Markthallenbrücke
Marktplatz
Marschalkenstrasse
Martinsgasse
Martinskirchplatz
Mathilde Paravicini-Strasse
Mattenstrasse
Matthäusstrasse
Mauerstrasse
Maulbeerstrasse
Meisengasse
Meltingerstrasse
Meret Oppenheim-Strasse
Messeplatz
Metzerstrasse
Michelbacherstrasse
Missionsstrasse
Mittlere Brücke
Mittlere Strasse
Mönchsbergerstrasse
Morgartenring
Mörsbergerstrasse
Mostackerstrasse
Muespacherstrasse
Mühlenberg
Mülhauserstrasse
Müllheimerstrasse
Münchensteinerstrasse
Münsterberg
Münsterpfalz
Münsterplatz
Münzgasse
Murbacherstrasse
Murtengasse
Mythenstrasse
Nadelberg
Näfelserstrasse
Nasenweg
Nauenstrasse
Nauentunnel
Nenzlingerstrasse
Neubadstrasse
Neudorfstrasse
Neuensteinerstrasse
Neuhausstrasse
