Vorname,Total
Rodrigo,1795
Rocco,1791
Bastien,1790
Evan,1763
Ronald,1757
Eduardo,1756
Patric,1754
Helmut,1748
Filip,1740
Giacomo,1733
Filippo,1732
Kaspar,1724
Niklas,1721
Vitor,1709
Harald,1698
Benno,1697
Nolan,1690
Mischa,1688
Bertrand,1679
Luís,1677
Ethan,1669
Maël,1666
Samir,1664
Henry,1656
Emilio,1655
Dirk,1652
Romeo,1642
Sami,1636
Jules,1626
Lian,1626
Benedikt,1625
Antonino,1624
Nelson,1616
Mateo,1592
Andri,1576
Marcus,1575
Hervé,1564
Vladimir,1561
Ismail,1556
Uwe,1544
Yanis,1543
Andres,1540
Arno,1533
Enea,1532
Mathis,1528
Aron,1526
Mohammed,1525
Hansruedi,1517
Levi,1512
Rayan,1511
Micha,1501
Gottfried,1495
Ian,1489
Léon,1470
Andrew,1462
Hansjörg,1460
Hans-Rudolf,1457
Jean-Paul,1457
Marlon,1452
Pierre-Alain,1451
Alejandro,1441
Hüseyin,1441
Grégory,1433
Bernd,1430
Ferdinand,1421
Flurin,1420
Brian,1416
Alfredo,1413
Jamie,1412
Clément,1396
Emanuele,1396
Fridolin,1393
Tiziano,1393
Miroslav,1392
Silvano,1389
Raffael,1381
Baptiste,1375
Giuliano,1370
Murat,1370
Santiago,1370
Janik,1366
Grégoire,1365
Valerio,1355
Ueli,1354
Albin,1352
Julius,1348
Theo,1343
Dino,1341
Meinrad,1339
Jean-Jacques,1338
Leonard,1322
Toni,1322
Javier,1319
Siegfried,1319
Jean-Daniel,1314
Pirmin,1308
Artur,1301
Giancarlo,1299
Basil,1298
Jon,1296
Nicholas,1290
Arben,1289
Timothy,1284
Adnan,1282
Alban,1282
Florent,1282
Johan,1280
Ahmad,1279
Yanick,1277
Till,1275
Malik,1269
Harry,1263
Bekim,1260
Jérémie,1251
Nando,1250
Carmine,1248
Aurélien,1242
Jean-Michel,1239
Orlando,1232
Gino,1230
Michal,1229
Mael,1225
Moreno,1215
Tommaso,1212
Milos,1199
Samuele,1195
Emir,1188
Gaetano,1179
Sasa,1174
Donato,1173
Carmelo,1167
Valentino,1154
Sérgio,1152
Deniz,1151
Fynn,1148
